rep,var,wregime,das,depth,wexr,rld,RLD100
1,MOROB,STRESS,42,25,0.958103,1.38032,138.032
1,MOROB,STRESS,42,35,1.204729,1.5044,150.44
1,MOROB,STRESS,42,45,1.269432,1.44572,144.572
1,MOROB,STRESS,42,55,1.108113,1.38013,138.013
1,MOROB,STRESS,42,65,1.39166,1.46429,146.429
1,MOROB,STRESS,49,5,0.544937,0.353285,35.3285
1,MOROB,STRESS,49,15,0.646069,0.43796,43.796
1,MOROB,STRESS,49,25,0.722802,0.60689,60.689
1,MOROB,STRESS,49,35,0.775693,0.574155,57.4155
1,MOROB,STRESS,49,45,0.810194,0.665615,66.5615
1,MOROB,STRESS,49,55,0.749186,0.546385,54.6385
1,MOROB,STRESS,49,65,0.860941,0.69731,69.731
1,MOROB,STRESS,62,5,0.331278,0.50762,50.762
1,MOROB,STRESS,62,15,0.379729,0.6371,63.71
1,MOROB,STRESS,62,25,0.444396,0.96539,96.539
1,MOROB,STRESS,62,35,0.481585,0.649995,64.9995
1,MOROB,STRESS,62,45,0.499014,0.656125,65.6125
1,MOROB,STRESS,62,55,0.509874,0.398625,39.8625
1,MOROB,STRESS,62,65,0.530323,0.64206,64.206
1,MOROB,STRESS,69,5,0.194548,0.294065,29.4065
1,MOROB,STRESS,69,15,0.523378,0.56297,56.297
1,MOROB,STRESS,69,25,0.747243,0.821045,82.1045
1,MOROB,STRESS,69,35,0.768563,0.957735,95.7735
1,MOROB,STRESS,69,45,0.732438,1.089715,108.9715
1,MOROB,STRESS,69,55,0.645593,1.001405,100.1405
1,MOROB,STRESS,69,65,0.621567,1.24709,124.709
1,MOROB,STRESS,83,5,0.043546,0.7775,77.75
1,MOROB,STRESS,83,15,0.572829,0.9083,90.83
1,MOROB,STRESS,83,25,0.55091,0.72609,72.609
1,MOROB,STRESS,83,35,0.307703,0.525815,52.5815
1,MOROB,STRESS,83,45,0.424576,0.6897,68.97
1,MOROB,STRESS,83,55,0.43364,0.90671,90.671
1,MOROB,STRESS,83,65,1.078837,0.73582,73.582
1,MOROB,STRESS,90,5,0.01626,0.20757,20.757
1,MOROB,STRESS,90,15,0.02227,0.17047,17.047
