Obs,TRT,ENTNO,NAME,Rep,DTF,HT,GY,TDMY,HI,F10,Trial,Env
990,C,e47,M4FNS-3076,3,74,91.667,3665.75,11166.32,29.1058,,D,CD
2928,S,e43,IR79906-B-192-2-1,3,80,155,3666.98,10671.4,34.3627,,J,SJ
793,S,e32,IR77298-14-1-2-1,1,79,84.2,3667.58,8053.67,40.375,,C,SC
1574,C,e42,IR78910-34-B-2-2,2,65,156,3669.04,9022.96,36.052,,F,CF
1047,S,e16,DK135,3,79,95,3670.24,8119.36,40.0774,,D,SD
1356,S,e19,DK157,3,81,76.167,3671.51,8494.89,38.319,,E,SE
930,C,e27,IR74371-46-1-1,3,74,131.333,3671.72,9943.74,32.7376,,D,CD
2357,C,e3,D6-446-6S,2,73,76.333,3671.99,7336.78,50.0491,,I,CI
894,C,e15,DK124,3,91,112,3672.47,8514.6,38.2402,,D,CD
1309,S,e4,D6-547-2R,1,90,67.5,3672.83,7969.93,40.8577,,E,SE
1690,S,e31,IR77298-14-1-2,1,82,110.333,3675.34,11460.95,28.4318,,F,SF
886,C,e13,DK117,1,77,103.667,3675.55,9889.8,32.9505,,D,CD
1560,C,e37,IR78905-105-1-2-2,3,70,123.333,3677.58,8242.46,39.5577,,F,CF
86,C,e38,IR78908-121-B-2-B,2,.,95.967,3678.19,7677.98,47.9057,,A,CA
1786,C,e13,DK117,1,73,92,3678.19,9888.81,32.9774,,G,CG
2086,C,e13,DK117,1,73,92,3678.19,9888.81,32.9774,,H,CH
1092,S,e31,IR77298-14-1-2,3,84,91.667,3678.52,8746.43,37.288,,D,SD
832,S,e45,IR81025-B-425-B,1,75,106.067,3681.58,7690.75,42.4417,,C,SC
1665,S,e22,DSL-89-3,3,80,109,3683.94,10731.38,30.4358,,F,SF
2813,S,e5,D6-547-5S,2,78,92.667,3684.96,8918.34,41.3188,,J,SJ
1515,C,e22,DSL-89-3,3,75,100,3685.22,8460.18,38.6199,,F,CF
1623,S,e8,DGI-32,3,80,103.333,3686.04,9852.37,33.17,,F,SF
544,S,e48,PSBRC68,1,100,100.667,3687.4,10207.67,36.1238,,B,SB
1516,C,e23,DSU-4-18,1,80,108,3687.53,12044.09,27.1449,,F,CF
873,C,e8,DGI-32,3,82,112.667,3689.77,11528.41,28.3764,,D,CD
1727,S,e43,IR79906-B-192-2-1,2,77,153.667,3693.13,11798.33,27.7525,,F,SF
