POP_CODE,SPECIES,CU_NO,CU_LT,LE_LT,LE_WD,FL_WD,LI_LT,NO_BPB,PAN_LT,AW_LT,AW_TH,SP_LT,SP_WD,STL_WD,STI_LT,AN_LT,SP_FRT,SPWD_SPLT
N28,NIVARA,201.8,89.56,43.2,0.78,0.82,20.92,1.16,20.08,95.84,0.3,8.72,2.78,0.78,1.54,3,77.56,0.32
N29,NIVARA,221.25,69.65,55.6,0.73,0.88,30,1,18.45,78.38,0.2,8.15,2.45,0.68,1.75,2.4,56.8,0.3
N32,NIVARA,124,95.72,52.96,1.14,1.3,22.8,1,21.76,70.58,0.28,8.38,3.24,0.98,1.62,2.16,62.28,0.39
N33,NIVARA,134.8,99.64,60.92,1.1,1.22,25,1.08,22.6,80.48,0.26,8.58,3.18,1.06,1.66,2.14,65.64,0.37
N34,NIVARA,126.6,109.4,65.72,1.1,1.36,25.56,1,24.2,72.98,0.28,8.46,3.14,1.06,1.58,2.18,67.6,0.37
N35,NIVARA,154.4,104.64,60.16,1.2,1.28,22.84,1.04,21.64,77.68,0.28,8.64,3.1,1.02,1.64,2.06,77.5,0.36
N36,NIVARA,109.4,81.6,60.96,1.26,1.54,18.92,1.24,20.84,77.7,0.24,9.22,3.14,1.08,1.66,1.9,74.92,0.34
N37,NIVARA,148,91.24,46.52,1.02,1.08,25.64,1.2,25.44,62.12,0.2,8.54,2.92,0.8,1.54,3.66,63.4,0.34
N38,NIVARA,190.2,82.32,40.84,0.76,0.9,17.36,1,19.04,92.88,0.26,8.96,2.94,0.78,1.7,2.58,58.28,0.33
N39,NIVARA,202.4,109.2,48.8,0.96,1.14,28.88,1.44,21.72,105.68,0.3,8.48,2.76,0.8,1.42,3.04,74.08,0.32
N40,NIVARA,196,86.6,35.76,0.82,0.94,14.08,1,20.04,99.94,0.28,8.7,2.82,0.88,1.72,3.2,56.44,0.32
N41,NIVARA,241,77.9,46.65,0.83,1.03,21.95,1.05,20.85,98.08,0.3,9.53,3.03,0.8,1.58,3.25,75,0.32
N42,NIVARA,188.8,86.4,44.56,1.06,1.24,21.28,1.04,19.92,98.26,0.28,9.62,2.9,0.72,1.8,2.72,58.72,0.3
N44,NIVARA,186.2,91.64,43.56,0.96,1.06,19.4,1.04,17.4,100,0.3,8.5,2.94,0.86,1.48,2.9,73,0.34
N45,NIVARA,125.5,108.7,66,1.05,1.15,33.1,1.2,24.9,97.25,0.3,8.75,3,0.95,1.5,2.45,59.2,0.34
N46,NIVARA,174.8,94.48,33.88,1.12,1.2,23.68,1.08,20.44,86.34,0.28,8.14,2.76,0.88,1.64,2.36,53.96,0.34
N47,NIVARA,172.4,110.28,52.04,0.98,1.06,26.96,1.08,23.44,99.74,0.28,7.96,2.6,0.72,1.52,2.48,68.08,0.33
N48,NIVARA,184.2,97.4,52.04,0.88,1.02,34.8,1,24.08,109.18,0.28,8.76,2.72,0.9,2.08,3.46,47.04,0.31
N49,NIVARA,220.6,88.48,37.56,0.68,0.78,18.84,1,19.52,84.58,0.26,8.4,2.66,0.76,1.42,2.46,54.28,0.32
N5,NIVARA,227,103.2,45.36,0.76,0.76,15.92,1.2,24.36,102.28,0.3,8.24,2.56,0.72,1.58,2.82,75.08,0.31
N50,NIVARA,206.2,96.64,44.36,0.82,1.02,18.28,1,22.48,91,0.3,8.32,2.92,0.8,1.56,2.7,56.2,0.35
N51,NIVARA,113,85.76,43.2,0.86,1.04,18.76,1.04,18.92,102.3,0.28,9.4,2.96,0.72,1.44,2.62,71.16,0.31
N52,NIVARA,167.8,94.2,54.76,0.92,1.02,19.96,1,23.28,127.22,0.34,9.22,2.98,0.86,1.44,2.88,65.6,0.32
N6,NIVARA,169.4,94.12,39.44,0.72,0.72,18.2,1.08,19.76,96.5,0.24,8.56,2.58,0.72,1.42,2.7,63.36,0.3
N7,NIVARA,166.6,92.36,50.92,0.96,1,21.32,1.12,20,84.48,0.28,8.86,2.9,0.82,1.44,2.84,64.04,0.33
N8,NIVARA,202.8,92.12,43.12,0.74,0.82,15.12,1.08,20.6,83.7,0.24,8.26,2.72,0.8,1.54,2.58,67.52,0.33
N9,NIVARA,169.4,91,48.04,0.9,0.94,20.76,1.04,22.28,87.66,0.28,8.24,2.68,0.78,1.44,2.56,58.52,0.33
R1,RUFIPOGON,164.75,135.7,42.15,0.98,0.93,21.65,1.2,17.15,70.75,0.2,8.3,2.13,0.78,1.78,4.93,24.4,0.26
R11,RUFIPOGON,200.2,129.56,38.92,0.44,0.5,16.68,1.36,22.6,79.88,0.2,6.92,2.18,0.7,1.58,4.3,12,0.32
R12,RUFIPOGON,168,144.64,40.04,0.88,0.9,13.24,1.28,19.36,60.74,0.22,8.1,2.2,0.7,1.7,4.86,38.68,0.27
R13,RUFIPOGON,155.6,159.12,55.04,0.9,0.94,22.28,1.08,23.96,87.8,0.24,8.2,2.36,0.72,1.72,4.98,35.72,0.29
R14,RUFIPOGON,168.2,128.8,31.48,0.82,0.88,15.24,1.08,17.32,59.88,0.2,8.28,2.36,0.76,1.68,4.82,21.48,0.28
R16,RUFIPOGON,147,150,39.36,0.74,0.9,13.8,1.08,19.4,62.42,0.22,8.22,2.22,0.64,1.58,5.24,31.28,0.27
